 0.4815   10.025    9.245
 0.5226    8.495    7.717
 0.5412    8.082    7.303
 0.9929    7.637    6.852
 1.0646    6.755    5.943
 1.2413    6.257    5.430
 1.5058    5.761    4.946
 1.6762    5.306    4.558
 1.9012    4.902    4.276
 2.1439    4.548    4.026
 2.7805    4.136    3.709
 3.0524    3.668    3.315
 3.3079    3.211    2.899
 3.4667    2.752    2.465
 3.4759    2.216    1.921
 3.4802    1.965    1.613
 3.4819    1.984    1.508
 3.4842    1.505    0.960
 3.4864    1.026    0.460
 3.4894    0.458   -0.137
 3.5005   -0.589   -1.253
 3.5308   -1.127   -1.836
 3.5491   -1.853   -2.636
 3.5670   -2.502   -3.359
 3.5765   -2.974   -3.891
 3.5923   -3.608   -4.609
 3.6085   -4.163   -5.238
 3.6193   -4.802   -5.964
 3.6245   -5.627   -6.901
