Ber39	4780	9.90	-0.26
C261	2190	9.95	-0.03
IC4651	888	9.057	+0.15
Mel66	4313	9.445	-0.33
N188	2047	9.632	-0.03
N1039	499	8.249	+0.07
N1817	1972	8.612	-0.16
N1912	1400	8.5	0.0
N1960	1330	7.4	0.0
N2099	1383	8.540	+0.09
N2158	5071	9.023	-0.28
N2168	912	8.25	-0.16
N2420	2480	9.3	-0.38
N2477	1300	8.78	+0.07
N2682	908	9.409	+0.03
N3680	938	9.077	-0.19
N6791	5853	9.643	+0.32
N6819	2360	9.174	+0.09
